A_distLeft;A_distCenter;A_distRight;A_opponent;A_rotRight;A_rotLeft;B_distLeft;B_distCenter;B_distRight;B_opponent;B_rotRight;B_rotLeft
337.05;462.55;309.89;UNDEF;29.00;20.00;323.98;426.72;346.32;UNDEF;20.00;20.00
294.11;473.33;377.69;UNDEF;26.00;22.00;283.69;497.03;306.54;UNDEF;28.00;23.00
238.76;380.64;399.70;UNDEF;26.00;21.00;273.34;441.05;304.36;UNDEF;23.00;27.00
302.02;366.02;399.59;UNDEF;20.00;25.00;251.27;400.51;362.63;UNDEF;26.00;28.00
254.92;354.23;332.43;UNDEF;25.00;25.00;254.61;482.24;281.53;UNDEF;20.00;20.00
220.73;386.31;283.64;UNDEF;27.00;20.00;269.06;453.89;315.84;UNDEF;28.00;28.00
177.35;323.82;356.26;UNDEF;21.00;20.00;155.82;385.32;261.98;UNDEF;21.00;27.00
121.06;364.54;291.94;UNDEF;25.00;29.00;142.10;457.77;231.84;UNDEF;22.00;22.00
107.43;326.83;244.46;UNDEF;29.00;29.00;182.94;416.87;227.02;UNDEF;21.00;28.00
138.73;270.96;240.41;UNDEF;20.00;26.00;177.90;394.64;230.90;UNDEF;23.00;24.00
137.40;280.95;208.61;UNDEF;22.00;29.00;92.48;391.54;135.74;UNDEF;28.00;21.00
45.40;349.08;157.11;UNDEF;6.00;-6.00;61.45;393.36;122.47;UNDEF;20.00;26.00
83.84;278.92;235.25;UNDEF;6.00;-6.00;22.02;344.62;111.23;UNDEF;6.00;-6.00
108.07;173.78;277.00;UNDEF;6.00;-6.00;79.07;309.48;162.68;UNDEF;6.00;-6.00
66.37;88.69;348.35;UNDEF;6.00;-6.00;61.10;200.91;210.26;UNDEF;6.00;-6.00
77.11;105.25;491.54;UNDEF;6.00;-6.00;86.23;124.23;331.89;UNDEF;6.00;-6.00
56.28;96.79;611.43;UNDEF;6.00;-6.00;60.95;63.38;428.16;UNDEF;6.00;-6.00
81.93;85.83;723.83;UNDEF;6.00;-6.00;82.47;95.03;608.76;UNDEF;6.00;-6.00
142.76;67.61;702.67;UNDEF;6.00;-6.00;138.79;47.90;618.48;UNDEF;6.00;-6.00
224.73;104.88;722.67;UNDEF;6.00;-6.00;102.64;57.88;676.10;UNDEF;6.00;-6.00
365.08;70.00;734.25;UNDEF;6.00;-6.00;177.50;41.45;704.47;UNDEF;6.00;-6.00
393.38;100.56;606.05;UNDEF;6.00;-6.00;283.04;47.36;681.49;UNDEF;6.00;-6.00
578.22;93.67;532.84;UNDEF;6.00;-6.00;444.31;91.77;707.39;UNDEF;6.00;-6.00
642.40;147.64;465.65;UNDEF;29.00;28.00;479.92;79.62;570.76;UNDEF;6.00;-6.00
568.00;97.96;482.81;UNDEF;23.00;24.00;608.15;66.91;451.53;UNDEF;24.00;24.00
631.68;102.53;478.70;UNDEF;22.00;29.00;592.31;132.09;537.72;UNDEF;27.00;25.00
529.67;124.79;603.75;UNDEF;24.00;29.00;599.30;112.49;529.78;UNDEF;20.00;24.00
480.96;150.61;615.86;UNDEF;28.00;24.00;568.13;152.24;534.83;UNDEF;21.00;21.00
470.70;148.18;593.04;UNDEF;26.00;25.00;482.14;193.81;584.67;UNDEF;21.00;23.00
435.64;197.40;602.54;UNDEF;20.00;28.00;444.88;201.29;573.64;UNDEF;25.00;23.00
400.89;158.42;628.59;UNDEF;22.00;26.00;481.46;130.12;596.92;UNDEF;22.00;21.00
335.25;207.32;660.67;UNDEF;24.00;28.00;405.01;214.56;589.65;UNDEF;23.00;25.00
310.42;185.33;567.32;UNDEF;25.00;20.00;436.84;215.98;594.99;UNDEF;24.00;25.00
261.28;186.59;613.54;UNDEF;22.00;23.00;403.21;210.83;632.33;UNDEF;29.00;21.00
275.15;139.66;610.88;UNDEF;23.00;26.00;395.92;196.70;559.32;UNDEF;29.00;25.00
261.74;217.52;636.51;UNDEF;22.00;29.00;354.94;217.39;600.55;UNDEF;28.00;23.00
204.24;150.79;541.67;UNDEF;27.00;29.00;390.23;171.62;569.39;UNDEF;20.00;28.00
187.92;129.29;565.26;UNDEF;20.00;28.00;362.86;224.87;625.96;UNDEF;21.00;24.00
128.59;180.77;452.23;UNDEF;27.00;21.00;324.28;226.70;637.69;UNDEF;20.00;24.00
142.89;94.24;514.77;UNDEF;21.00;25.00;307.78;235.80;544.68;UNDEF;20.00;27.00
70.77;98.99;390.78;UNDEF;23.00;29.00;185.62;190.38;574.86;UNDEF;29.00;27.00
46.64;119.08;381.33;UNDEF;-6.00;6.00;155.65;172.70;528.29;UNDEF;23.00;21.00
5.92;175.93;252.37;UNDEF;-6.00;6.00;159.95;208.67;542.60;UNDEF;29.00;22.00
21.13;277.63;162.33;UNDEF;-6.00;6.00;211.79;152.84;563.86;UNDEF;20.00;29.00
46.33;412.95;64.58;UNDEF;-6.00;6.00;114.25;121.99;480.37;UNDEF;23.00;27.00
34.82;509.80;67.55;UNDEF;-6.00;6.00;108.15;141.21;421.12;UNDEF;22.00;25.00
89.36;565.44;61.78;UNDEF;-6.00;6.00;58.94;90.26;381.23;UNDEF;6.00;-6.00
131.03;671.57;108.47;UNDEF;-6.00;6.00;46.08;116.38;543.01;UNDEF;6.00;-6.00
144.23;700.55;59.55;UNDEF;-6.00;6.00;88.42;108.87;607.69;UNDEF;6.00;-6.00
204.12;703.65;103.78;UNDEF;-6.00;6.00;88.57;77.89;720.38;UNDEF;6.00;-6.00
266.64;725.23;71.31;UNDEF;-6.00;6.00;160.13;55.90;758.91;UNDEF;6.00;-6.00
401.42;713.00;103.99;UNDEF;-6.00;6.00;234.18;115.42;730.39;UNDEF;6.00;-6.00
527.79;594.69;89.14;UNDEF;-6.00;6.00;380.10;26.25;702.39;UNDEF;6.00;-6.00
616.52;471.75;79.56;UNDEF;25.00;23.00;411.80;128.24;649.48;UNDEF;6.00;-6.00
619.47;532.18;85.83;UNDEF;22.00;20.00;558.82;96.43;606.17;UNDEF;6.00;-6.00
562.74;525.37;144.95;UNDEF;24.00;24.00;667.46;128.95;417.89;UNDEF;6.00;-6.00
515.64;526.26;159.85;UNDEF;24.00;23.00;694.26;179.76;362.07;LEFT;6.00;-6.00
541.11;576.42;175.66;UNDEF;25.00;20.00;688.44;178.00;263.40;RIGHT;6.00;-6.00
507.75;641.62;152.27;UNDEF;21.00;29.00;768.19;328.81;190.35;UNDEF;24.00;29.00
477.54;586.17;190.83;UNDEF;22.00;21.00;727.38;305.66;279.18;UNDEF;21.00;29.00
502.92;553.70;142.24;UNDEF;28.00;22.00;702.59;223.74;297.24;RIGHT;27.00;21.00
348.75;608.78;219.28;UNDEF;29.00;23.00;663.66;310.15;340.02;UNDEF;23.00;27.00
307.97;572.03;192.02;UNDEF;27.00;29.00;614.37;275.97;346.40;UNDEF;21.00;27.00
318.84;607.70;213.50;UNDEF;22.00;29.00;613.85;293.38;344.22;UNDEF;23.00;26.00
369.53;586.06;138.61;UNDEF;29.00;23.00;594.75;307.14;349.60;UNDEF;20.00;21.00
288.17;570.35;213.71;UNDEF;21.00;20.00;579.44;359.63;388.84;UNDEF;26.00;22.00
271.93;618.79;215.69;UNDEF;26.00;23.00;495.58;313.26;429.65;UNDEF;25.00;23.00
252.42;624.89;201.66;UNDEF;24.00;22.00;518.85;332.77;419.97;UNDEF;25.00;22.00
194.55;540.17;126.70;UNDEF;25.00;26.00;505.59;322.58;361.96;UNDEF;23.00;29.00
139.50;613.39;174.91;UNDEF;27.00;21.00;445.42;377.83;375.78;UNDEF;22.00;25.00
114.50;485.48;110.74;UNDEF;24.00;22.00;440.16;347.24;454.28;UNDEF;29.00;21.00
111.72;485.73;103.88;UNDEF;24.00;23.00;462.54;410.84;413.14;UNDEF;24.00;20.00
130.32;476.27;97.62;UNDEF;-6.00;6.00;390.24;326.80;415.37;UNDEF;20.00;22.00
138.30;535.19;112.42;UNDEF;-6.00;6.00;364.77;403.14;435.43;UNDEF;27.00;20.00
164.84;654.39;101.77;UNDEF;-6.00;6.00;338.11;374.70;419.16;UNDEF;29.00;24.00
135.74;654.77;49.72;UNDEF;-6.00;6.00;315.60;332.64;399.84;UNDEF;25.00;25.00
185.39;721.78;31.26;UNDEF;-6.00;6.00;283.07;319.85;455.61;UNDEF;20.00;25.00
292.11;728.94;40.46;UNDEF;-6.00;6.00;248.39;386.26;388.68;UNDEF;28.00;24.00
430.98;707.39;38.14;UNDEF;-6.00;6.00;245.31;297.13;423.68;UNDEF;28.00;22.00
461.75;579.52;92.93;UNDEF;-6.00;6.00;278.46;349.37;405.36;UNDEF;24.00;22.00
558.14;486.54;118.11;UNDEF;-6.00;6.00;228.15;308.28;438.89;UNDEF;22.00;28.00
708.00;392.82;162.87;UNDEF;-6.00;6.00;180.91;318.30;435.42;UNDEF;24.00;24.00
704.01;313.25;191.37;UNDEF;-6.00;6.00;191.63;265.70;389.78;UNDEF;25.00;26.00
685.24;202.28;222.54;UNDEF;-6.00;6.00;163.47;241.11;328.92;UNDEF;22.00;25.00
745.17;130.27;306.36;UNDEF;-6.00;6.00;104.06;245.70;276.34;UNDEF;27.00;24.00
686.37;170.12;479.18;RIGHT;29.00;21.00;70.39;166.85;257.63;UNDEF;25.00;21.00
658.87;121.67;453.03;UNDEF;26.00;28.00;78.40;150.52;310.80;UNDEF;22.00;25.00
572.80;207.38;433.49;UNDEF;26.00;29.00;39.16;129.86;204.02;UNDEF;-6.00;6.00
539.69;224.92;462.00;UNDEF;26.00;28.00;15.67;252.51;104.45;UNDEF;-6.00;6.00
512.61;228.98;498.23;UNDEF;29.00;21.00;57.33;371.86;51.52;UNDEF;-6.00;6.00
525.19;194.74;501.36;UNDEF;21.00;26.00;41.69;478.20;73.67;UNDEF;-6.00;6.00
519.09;236.98;480.10;UNDEF;26.00;28.00;19.83;566.46;40.18;UNDEF;-6.00;6.00
452.16;207.79;553.62;UNDEF;29.00;20.00;37.71;639.30;97.24;UNDEF;-6.00;6.00
508.27;295.00;528.63;UNDEF;28.00;27.00;74.59;752.52;27.77;UNDEF;-6.00;6.00
461.02;244.99;535.26;UNDEF;29.00;26.00;183.58;787.45;83.68;UNDEF;-6.00;6.00
404.96;267.54;518.71;UNDEF;29.00;25.00;302.49;696.50;87.67;UNDEF;-6.00;6.00
414.55;271.33;506.52;UNDEF;26.00;21.00;365.14;722.11;2.43;UNDEF;-6.00;6.00
448.92;285.59;482.58;UNDEF;24.00;28.00;479.49;567.60;61.74;UNDEF;27.00;29.00
422.13;306.73;509.16;UNDEF;26.00;24.00;461.06;575.45;117.98;UNDEF;28.00;28.00
309.52;283.16;524.21;UNDEF;24.00;27.00;525.95;650.54;90.55;UNDEF;23.00;29.00
314.28;287.01;522.11;UNDEF;28.00;22.00;515.69;587.54;114.04;UNDEF;27.00;28.00
292.45;220.97;475.37;UNDEF;22.00;21.00;442.14;655.79;77.31;UNDEF;28.00;29.00
321.27;273.20;521.05;UNDEF;24.00;28.00;496.61;603.81;107.67;UNDEF;24.00;29.00
227.78;269.79;510.50;UNDEF;21.00;20.00;516.63;609.89;166.91;UNDEF;24.00;21.00
196.26;219.57;516.85;UNDEF;29.00;20.00;398.46;631.99;138.14;UNDEF;26.00;27.00
220.12;232.89;532.02;UNDEF;22.00;26.00;424.54;663.77;137.21;UNDEF;27.00;29.00
229.25;205.64;461.58;UNDEF;28.00;24.00;393.80;582.00;207.58;UNDEF;23.00;23.00
130.97;155.34;457.40;UNDEF;20.00;26.00;404.65;582.42;140.41;UNDEF;22.00;21.00
195.81;168.68;476.09;UNDEF;21.00;25.00;309.22;639.02;166.39;UNDEF;26.00;26.00
80.85;235.45;399.07;UNDEF;26.00;20.00;298.59;606.44;122.21;UNDEF;28.00;24.00
94.08;170.85;477.76;UNDEF;24.00;23.00;297.83;588.26;176.66;UNDEF;27.00;25.00
62.57;88.14;382.26;UNDEF;6.00;-6.00;272.15;651.82;214.32;UNDEF;20.00;27.00
110.12;93.92;555.09;UNDEF;6.00;-6.00;247.03;586.53;126.31;UNDEF;20.00;20.00
62.58;60.23;628.75;UNDEF;6.00;-6.00;244.07;588.68;103.83;UNDEF;26.00;28.00
155.03;52.50;650.39;UNDEF;6.00;-6.00;191.29;659.68;185.73;UNDEF;27.00;22.00
198.86;65.14;693.28;UNDEF;6.00;-6.00;177.89;587.33;179.68;UNDEF;28.00;29.00
278.14;67.97;685.49;UNDEF;6.00;-6.00;130.06;552.88;93.56;UNDEF;22.00;21.00
329.50;50.92;737.36;UNDEF;6.00;-6.00;92.92;523.82;68.35;UNDEF;6.00;-6.00
503.64;98.08;676.45;UNDEF;6.00;-6.00;124.97;514.69;106.46;UNDEF;6.00;-6.00
613.99;109.99;588.11;UNDEF;6.00;-6.00;124.53;330.45;152.25;UNDEF;6.00;-6.00
608.35;117.29;405.88;UNDEF;6.00;-6.00;82.94;264.36;216.13;UNDEF;6.00;-6.00
679.13;169.80;289.94;UNDEF;6.00;-6.00;134.86;193.82;276.38;UNDEF;6.00;-6.00
696.99;178.08;245.99;LEFT;6.00;-6.00;74.25;177.26;419.78;UNDEF;6.00;-6.00
681.04;308.19;155.47;CENTER;6.00;-6.00;125.79;87.96;477.90;UNDEF;6.00;-6.00
630.19;366.51;152.84;RIGHT;6.00;-6.00;153.45;75.09;551.35;UNDEF;6.00;-6.00
610.81;560.89;149.11;UNDEF;24.00;28.00;141.14;124.57;624.91;UNDEF;6.00;-6.00
566.35;517.06;165.06;UNDEF;29.00;29.00;147.28;127.40;661.58;UNDEF;6.00;-6.00
546.89;503.19;148.98;UNDEF;21.00;28.00;282.66;34.82;762.28;UNDEF;6.00;-6.00
535.36;503.12;175.07;UNDEF;21.00;20.00;319.19;39.06;689.27;UNDEF;6.00;-6.00
560.25;508.48;236.51;UNDEF;23.00;25.00;425.56;59.16;644.16;UNDEF;25.00;20.00
550.18;530.34;183.21;UNDEF;27.00;26.00;437.28;153.54;647.03;UNDEF;28.00;29.00
536.13;519.80;222.49;UNDEF;29.00;26.00;454.63;153.59;681.94;UNDEF;26.00;20.00
518.00;598.93;223.34;UNDEF;22.00;20.00;432.34;93.90;669.83;UNDEF;27.00;23.00
445.09;608.19;269.44;UNDEF;25.00;20.00;474.00;139.75;621.85;UNDEF;27.00;25.00
414.17;612.10;255.99;UNDEF;23.00;23.00;383.56;157.87;579.24;UNDEF;24.00;28.00
419.27;583.55;227.98;UNDEF;23.00;28.00;390.28;166.27;643.32;UNDEF;26.00;20.00
415.22;596.46;210.23;UNDEF;27.00;22.00;369.01;155.41;607.95;UNDEF;25.00;21.00
288.80;531.29;222.24;UNDEF;20.00;25.00;352.89;106.96;587.90;UNDEF;20.00;21.00
288.32;543.06;230.06;UNDEF;24.00;26.00;350.37;152.73;620.68;UNDEF;20.00;28.00
275.42;528.99;259.41;RIGHT;22.00;20.00;277.83;133.75;680.78;UNDEF;27.00;23.00
224.53;586.58;233.42;CENTER;24.00;24.00;231.41;164.63;618.37;UNDEF;22.00;21.00
237.15;552.74;153.51;LEFT;26.00;25.00;263.50;139.65;711.55;UNDEF;21.00;25.00
206.76;580.29;135.69;UNDEF;28.00;25.00;136.08;83.31;708.96;UNDEF;21.00;21.00
137.83;546.36;113.19;UNDEF;26.00;21.00;85.96;0.62;779.53;UNDEF;24.00;28.00
132.54;557.42;178.33;UNDEF;23.00;25.00;65.48;-13.12;652.59;UNDEF;6.00;-6.00